unigram,gatsby_prob,alice_prob,austen_prob,gatsby_count,alice_count,austen_count
intention,8.01E-05,0,0.000129277,4,0,16
yale,8.01E-05,0,0,4,0,0
bring,8.01E-05,0.000109681,0.000145437,4,3,18
land,8.01E-05,3.66E-05,8.08E-06,4,1,1
perfect,8.01E-05,0,0.000137357,4,0,17
sinister,8.01E-05,0,0,4,0,0
tip,8.01E-05,0,0,4,0,0
yards,8.01E-05,3.66E-05,8.08E-06,4,1,1
huge,8.01E-05,0,0,4,0,0
places,8.01E-05,3.66E-05,4.04E-05,4,1,5
colossal,8.01E-05,0,0,4,0,0
tower,8.01E-05,0,0,4,0,0
raw,8.01E-05,3.66E-05,0,4,1,0
swimming,8.01E-05,7.31E-05,0,4,2,0
gentleman,8.01E-05,0,0.000323193,4,0,40
spent,8.01E-05,0,0.000177756,4,0,22
string,8.01E-05,0,0,4,0,0
lake,8.01E-05,0,0,4,0,0
realize,8.01E-05,0,0,4,0,0
game,8.01E-05,0.000475285,5.66E-05,4,13,7
french,8.01E-05,0.000146242,8.08E-06,4,4,1
apart,8.01E-05,0,0,4,0,0
manner,8.01E-05,7.31E-05,0.000767584,4,2,95
glistening,8.01E-05,0,0,4,0,0
speaking,8.01E-05,0.000182802,0.000258555,4,5,32
harsh,8.01E-05,0,0,4,0,0
broad,8.01E-05,0,8.08E-06,4,0,1
belonged,8.01E-05,0,2.42E-05,4,0,3
bound,8.01E-05,3.66E-05,8.08E-06,4,1,1
gleaming,8.01E-05,0,0,4,0,0
completely,8.01E-05,3.66E-05,5.66E-05,4,1,7
blown,8.01E-05,3.66E-05,8.08E-06,4,1,1
listening,8.01E-05,0.000109681,8.08E-05,4,3,10
rear,8.01E-05,0,0,4,0,0
stranger,8.01E-05,0,0.000105038,4,0,13
chin,8.01E-05,0.000255923,8.08E-06,4,7,1
balancing,8.01E-05,0,0,4,0,0
attempt,8.01E-05,3.66E-05,0.000177756,4,1,22
charming,8.01E-05,0,0.000161597,4,0,20
tipped,8.01E-05,3.66E-05,0,4,1,0
questions,8.01E-05,0.000109681,0.000129277,4,3,16
desolate,8.01E-05,0,0,4,0,0
decisively,8.01E-05,0,0,4,0,0
shortly,8.01E-05,0,9.70E-05,4,0,12
yawned,8.01E-05,7.31E-05,8.08E-06,4,2,1
drop,8.01E-05,3.66E-05,2.42E-05,4,1,3
wondering,8.01E-05,0.000255923,1.62E-05,4,7,2
curiosity,8.01E-05,0.000182802,0.000185836,4,5,23
wan,8.01E-05,0,0,4,0,0
announced,8.01E-05,0,2.42E-05,4,0,3
plan,8.01E-05,0.000146242,0.000113118,4,4,14
finger,8.01E-05,0.000182802,0,4,5,0
hulking,8.01E-05,0,0,4,0,0
hate,8.01E-05,3.66E-05,7.27E-05,4,1,9
chatter,8.01E-05,0,0,4,0,0
presently,8.01E-05,7.31E-05,1.62E-05,4,2,2
race,8.01E-05,0.000219362,8.08E-06,4,6,1
utterly,8.01E-05,0,8.08E-06,4,0,1
stuff,8.01E-05,0.000146242,0,4,4,0
profound,8.01E-05,0,0,4,0,0
worked,8.01E-05,0,3.23E-05,4,0,4
tonight,8.01E-05,0,0,4,0,0
dusk,8.01E-05,0,0,4,0,0
absolute,8.01E-05,0,3.23E-05,4,0,4
impassioned,8.01E-05,0,0,4,0,0
sank,8.01E-05,0,0,4,0,0
blankly,8.01E-05,0,0,4,0,0
gaiety,8.01E-05,0,1.62E-05,4,0,2
lit,8.01E-05,3.66E-05,0,4,1,0
fifth,8.01E-05,3.66E-05,8.08E-06,4,1,1
instinct,8.01E-05,0,0,4,0,0
mentioned,8.01E-05,0.000109681,0.000226235,4,3,28
strolled,8.01E-05,0,0,4,0,0
instant,8.01E-05,0,4.85E-05,4,0,6
uneasy,8.01E-05,3.66E-05,6.46E-05,4,1,8
eight,8.01E-05,0,7.27E-05,4,0,9
boat,8.01E-05,0,0,4,0,0
veranda,8.01E-05,0,0,4,0,0
seem,8.01E-05,0.000292483,0.000129277,4,8,16
motor,8.01E-05,0,0,4,0,0
forgot,8.01E-05,7.31E-05,4.04E-05,4,2,5
important,8.01E-05,0.000182802,8.08E-05,4,5,10
surprising,8.01E-05,0,0,4,0,0
vaguely,8.01E-05,0,0,4,0,0
earth,8.01E-05,0.000146242,8.08E-06,4,4,1
introduction,8.01E-05,0,8.89E-05,4,0,11
dock,8.01E-05,0,0,4,0,0
railroad,8.01E-05,0,0,4,0,0
gardens,8.01E-05,0,0,4,0,0
smoke,8.01E-05,3.66E-05,0,4,1,0
eternal,8.01E-05,0,0,4,0,0
trains,8.01E-05,0,0,4,0,0
popular,8.01E-05,0,8.08E-06,4,0,1
luncheon,8.01E-05,0,8.08E-06,4,0,1
company,8.01E-05,3.66E-05,0.000177756,4,1,22
sunday,8.01E-05,0,7.27E-05,4,0,9
third,8.01E-05,0,5.66E-05,4,0,7
interior,8.01E-05,0,0,4,0,0
visible,8.01E-05,0,4.04E-05,4,0,5
wreck,8.01E-05,0,0,4,0,0
sprang,8.01E-05,0,8.08E-06,4,0,1
slow,8.01E-05,0,1.62E-05,4,0,2
carried,8.01E-05,0.000146242,6.46E-05,4,4,8
july,8.01E-05,0,8.08E-06,4,0,1
awful,8.01E-05,0,1.62E-05,4,0,2
slid,8.01E-05,0,0,4,0,0
basket,8.01E-05,0,0,4,0,0
avenue,8.01E-05,0,8.08E-06,4,0,1
bath,8.01E-05,0,8.08E-06,4,0,1
entirely,8.01E-05,7.31E-05,0.000201996,4,2,25
ladies,8.01E-05,0,0.000597907,4,0,74
swinging,8.01E-05,0,0,4,0,0
broadway,8.01E-05,0,0,4,0,0
milk,8.01E-05,7.31E-05,0,4,2,0
locked,8.01E-05,3.66E-05,0,4,1,0
below,8.01E-05,0.000109681,4.04E-05,4,3,5
pride,8.01E-05,0,0.000379752,4,0,47
costume,8.01E-05,0,0,4,0,0
pursued,8.01E-05,0,1.62E-05,4,0,2
chester,8.01E-05,0,0,4,0,0
pointing,8.01E-05,0.000146242,4.04E-05,4,4,5
breaking,8.01E-05,0,1.62E-05,4,0,2
entered,8.01E-05,0,0.000290874,4,0,36
pump,8.01E-05,0,0,4,0,0
private,8.01E-05,0,8.89E-05,4,0,11
nodding,8.01E-05,0,0,4,0,0
pointed,8.01E-05,3.66E-05,4.04E-05,4,1,5
constant,8.01E-05,7.31E-05,9.70E-05,4,2,12
themselves,8.01E-05,0.000109681,0.000266634,4,3,33
ones,8.01E-05,3.66E-05,4.04E-05,4,1,5
advertisement,8.01E-05,0,0,4,0,0
pressed,8.01E-05,0.000109681,2.42E-05,4,3,3
wiped,8.01E-05,0,0,4,0,0
midnight,8.01E-05,0,0,4,0,0
nights,8.01E-05,0,0,4,0,0
wagon,8.01E-05,0,0,4,0,0
christmas,8.01E-05,3.66E-05,4.85E-05,4,1,6
dressing,8.01E-05,0,7.27E-05,4,0,9
group,8.01E-05,0,1.62E-05,4,0,2
rhythm,8.01E-05,0,0,4,0,0
news,8.01E-05,0,0.000258555,4,0,32
somehow,8.01E-05,3.66E-05,1.62E-05,4,1,2
ended,8.01E-05,0,3.23E-05,4,0,4
crossed,8.01E-05,0.000109681,4.04E-05,4,3,5
note,8.01E-05,7.31E-05,6.46E-05,4,2,8
wandered,8.01E-05,7.31E-05,1.62E-05,4,2,2
number,8.01E-05,0.000182802,4.04E-05,4,5,5
direction,8.01E-05,0.000182802,8.08E-05,4,5,10
necessary,8.01E-05,0,0.000250475,4,0,31
address,8.01E-05,0,0.000153517,4,0,19
bent,8.01E-05,3.66E-05,2.42E-05,4,1,3
assumed,8.01E-05,0,8.08E-06,4,0,1
need,8.01E-05,0.000109681,0.000153517,4,3,19
roosevelt,8.01E-05,0,0,4,0,0
bit,8.01E-05,0.000584966,2.42E-05,4,16,3
dancing,8.01E-05,7.31E-05,0.000169676,4,2,21
increased,8.01E-05,0,8.89E-05,4,0,11
jazz,8.01E-05,0,0,4,0,0
happy,8.01E-05,3.66E-05,0.000670626,4,1,83
hydroplane,8.01E-05,0,0,4,0,0
reminded,8.01E-05,0,4.85E-05,4,0,6
papers,8.01E-05,0,8.08E-06,4,0,1
madame,8.01E-05,0,0,4,0,0
angry,8.01E-05,0.000182802,0.000137357,4,5,17
wives,8.01E-05,0,8.08E-06,4,0,1
simply,8.01E-05,7.31E-05,8.08E-06,4,2,1
shock,8.01E-05,3.66E-05,1.62E-05,4,1,2
stepped,8.01E-05,0,8.08E-06,4,0,1
suspected,8.01E-05,0,7.27E-05,4,0,9
determined,8.01E-05,0,0.000258555,4,0,32
gesture,8.01E-05,0,0,4,0,0
absorbed,8.01E-05,0,0,4,0,0
merely,8.01E-05,7.31E-05,0.000266634,4,2,33
jersey,8.01E-05,0,0,4,0,0
hill,8.01E-05,0,8.08E-05,4,0,10
corners,8.01E-05,3.66E-05,0,4,1,0
lighted,8.01E-05,0,8.08E-06,4,0,1
statement,8.01E-05,0,1.62E-05,4,0,2
admitted,8.01E-05,0,7.27E-05,4,0,9
straight,8.01E-05,7.31E-05,0,4,2,0
free,8.01E-05,0.000109681,5.66E-05,4,3,7
bells,8.01E-05,3.66E-05,0,4,1,0
empty,8.01E-05,3.66E-05,8.08E-06,4,1,1
o,8.01E-05,0.000109681,1.62E-05,4,3,2
r,8.01E-05,0,0,4,0,0
gravel,8.01E-05,0,2.42E-05,4,0,3
youth,8.01E-05,0.000219362,7.27E-05,4,6,9
phrase,8.01E-05,0,0,4,0,0
worn,8.01E-05,0,1.62E-05,4,0,2
pocket,8.01E-05,0.000255923,2.42E-05,4,7,3
carry,8.01E-05,3.66E-05,4.04E-05,4,1,5
slowed,8.01E-05,0,0,4,0,0
card,8.01E-05,0,7.27E-05,4,0,9
tragic,8.01E-05,0,0,4,0,0
pay,8.01E-05,0,8.89E-05,4,0,11
starting,8.01E-05,0,8.08E-06,4,0,1
sidewalk,8.01E-05,0,0,4,0,0
sentimental,8.01E-05,0,0,4,0,0
oggsford,8.01E-05,0,0,4,0,0
england,8.01E-05,3.66E-05,4.04E-05,4,1,5
fixed,8.01E-05,3.66E-05,0.000177756,4,1,22
seventeen,8.01E-05,0,0,4,0,0
plaza,8.01E-05,0,0,4,0,0
tut,8.01E-05,7.31E-05,0,4,2,0
admired,8.01E-05,0,9.70E-05,4,0,12
'em,8.01E-05,0.000109681,0,4,3,0
snow,8.01E-05,0,0,4,0,0
mad,8.01E-05,0.000511846,0,4,14,0
central,8.01E-05,0,0,4,0,0
invite,8.01E-05,0,4.85E-05,4,0,6
tired,8.01E-05,0.000255923,3.23E-05,4,7,4
fire,8.01E-05,0.000146242,4.04E-05,4,4,5
thrown,8.01E-05,3.66E-05,6.46E-05,4,1,8
corrected,8.01E-05,0,0,4,0,0
finn,8.01E-05,0,0,4,0,0
follow,8.01E-05,7.31E-05,8.89E-05,4,2,11
frightened,8.01E-05,0.000255923,6.46E-05,4,7,8
parted,8.01E-05,0,0.000113118,4,0,14
embarrassed,8.01E-05,0,5.66E-05,4,0,7
kiss,8.01E-05,3.66E-05,8.08E-06,4,1,1
vivid,8.01E-05,0,0,4,0,0
amount,8.01E-05,0,1.62E-05,4,0,2
store,8.01E-05,0,0,4,0,0
parents,8.01E-05,0,5.66E-05,4,0,7
aside,8.01E-05,0,3.23E-05,4,0,4
force,8.01E-05,0,6.46E-05,4,0,8
drugstores,8.01E-05,0,0,4,0,0
flushed,8.01E-05,0,0,4,0,0
ale,8.01E-05,0,0,4,0,0
gets,8.01E-05,0,8.08E-06,4,0,1
walter,8.01E-05,0,0,4,0,0
nor,8.01E-05,0.000109681,0.000589827,4,3,73
ga,8.01E-05,0,0,4,0,0
od,8.01E-05,0,0,4,0,0
anxiously,8.01E-05,0.000511846,1.62E-05,4,14,2
boys,8.01E-05,0,2.42E-05,4,0,3
shows,8.01E-05,0,3.23E-05,4,0,4
wear,6.01E-05,0,8.08E-06,3,0,1
habit,6.01E-05,0,5.66E-05,3,0,7
sign,6.01E-05,3.66E-05,1.62E-05,3,1,2
repeat,6.01E-05,0.000255923,4.04E-05,3,7,5
sense,6.01E-05,0.000109681,0.000290874,3,3,36
founded,6.01E-05,0,2.42E-05,3,0,3
wake,6.01E-05,7.31E-05,0,3,2,0
western,6.01E-05,0,0,3,0,0
clan,6.01E-05,0,0,3,0,0
brother,6.01E-05,3.66E-05,0.000638306,3,1,79
counter,6.01E-05,0,0,3,0,0
centre,6.01E-05,3.66E-05,0,3,1,0
ragged,6.01E-05,0,0,3,0,0
practical,6.01E-05,0,0,3,0,0
finnish,6.01E-05,0,0,3,0,0
electric,6.01E-05,0,0,3,0,0
fast,6.01E-05,0.000146242,5.66E-05,3,4,7
promising,6.01E-05,3.66E-05,3.23E-05,3,1,4
reading,6.01E-05,0.000109681,0.000113118,3,3,14
wrote,6.01E-05,0.000109681,0.000169676,3,3,21
limited,6.01E-05,0,0,3,0,0
north,6.01E-05,0,4.85E-05,3,0,6
unusual,6.01E-05,0,8.08E-06,3,0,1
crushed,6.01E-05,0,0,3,0,0
contact,6.01E-05,0,0,3,0,0
source,6.01E-05,0,5.66E-05,3,0,7
bizarre,6.01E-05,0,0,3,0,0
buchanans,6.01E-05,0,0,3,0,0
removed,6.01E-05,7.31E-05,0.000137357,3,2,17
national,6.01E-05,0,0,3,0,0
drift,6.01E-05,0,0,3,0,0
drifting,6.01E-05,0,0,3,0,0
riding,6.01E-05,0,8.08E-06,3,0,1
power,6.01E-05,0,0.000339353,3,0,42
boots,6.01E-05,0.000146242,0,3,4,0
opinion,6.01E-05,3.66E-05,0.000541349,3,1,67
including,6.01E-05,0,1.62E-05,3,0,2
italian,6.01E-05,0,8.08E-06,3,0,1
space,6.01E-05,0,1.62E-05,3,0,2
breeze,6.01E-05,3.66E-05,0,3,1,0
ceiling,6.01E-05,3.66E-05,0,3,1,0
moments,6.01E-05,0,8.89E-05,3,0,11
snap,6.01E-05,0,0,3,0,0
shut,6.01E-05,0.000182802,4.04E-05,3,5,5
length,6.01E-05,3.66E-05,0.000258555,3,1,32
hint,6.01E-05,7.31E-05,9.70E-05,3,2,12
absurd,6.01E-05,7.31E-05,4.04E-05,3,2,5
p,6.01E-05,3.66E-05,8.08E-06,3,1,1
tribute,6.01E-05,0,8.08E-06,3,0,1
cared,6.01E-05,0,5.66E-05,3,0,7
exciting,6.01E-05,0,8.08E-06,3,0,1
wreath,6.01E-05,0,0,3,0,0
baby,6.01E-05,0.000475285,0,3,13,0
annoyed,6.01E-05,3.66E-05,8.08E-06,3,1,1
glancing,6.01E-05,0,3.23E-05,3,0,4
alert,6.01E-05,0,0,3,0,0
anywhere,6.01E-05,3.66E-05,8.08E-06,3,1,1
complained,6.01E-05,3.66E-05,8.08E-06,3,1,1
pantry,6.01E-05,0,0,3,0,0
tense,6.01E-05,0,0,3,0,0
compelled,6.01E-05,0,0,3,0,0
lightly,6.01E-05,0,0,3,0,0
hips,6.01E-05,0,0,3,0,0
candles,6.01E-05,0,0,3,0,0
frowning,6.01E-05,0.000146242,0,3,4,0
longest,6.01E-05,0,0,3,0,0
awed,6.01E-05,0,1.62E-05,3,0,2
absence,6.01E-05,3.66E-05,0.000218155,3,1,27
different,6.01E-05,0.000329044,0.000290874,3,9,36
phase,6.01E-05,0,0,3,0,0
sheer,6.01E-05,0,0,3,0,0
unexpected,6.01E-05,0,6.46E-05,3,0,8
rise,6.01E-05,3.66E-05,1.62E-05,3,1,2
hesitation,6.01E-05,0,2.42E-05,3,0,3
nod,6.01E-05,0,0,3,0,0
enthusiastically,6.01E-05,0,0,3,0,0
service,6.01E-05,0,5.66E-05,3,0,7
worse,6.01E-05,0.000109681,0.000105038,3,3,13
breathlessly,6.01E-05,0,0,3,0,0
glow,6.01E-05,0,2.42E-05,3,0,3
frowned,6.01E-05,0,0,3,0,0
untrue,6.01E-05,0,0,3,0,0
breathless,6.01E-05,0,1.62E-05,3,0,2
meaning,6.01E-05,0.000292483,0.000113118,3,8,14
verge,6.01E-05,0,0,3,0,0
outdoors,6.01E-05,0,0,3,0,0
bird,6.01E-05,7.31E-05,0,3,2,0
stables,6.01E-05,0,8.08E-06,3,0,1
guess,6.01E-05,0.000109681,4.04E-05,3,3,5
scepticism,6.01E-05,0,0,3,0,0
guest,6.01E-05,0,4.04E-05,3,0,5
shrill,6.01E-05,0.000182802,0,3,5,0
situation,6.01E-05,0,0.000307033,3,0,38
vigil,6.01E-05,0,0,3,0,0
perfectly,6.01E-05,0.000146242,0.000387832,3,4,48
tangible,6.01E-05,0,0,3,0,0
chain,6.01E-05,3.66E-05,0,3,1,0
emotions,6.01E-05,0,8.08E-06,3,0,1
possessed,6.01E-05,0,1.62E-05,3,0,2
absently,6.01E-05,0,0,3,0,0
woke,6.01E-05,3.66E-05,0,3,1,0
thinks,6.01E-05,0,3.23E-05,3,0,4
flashed,6.01E-05,3.66E-05,0,3,1,0
asserted,6.01E-05,0,8.08E-06,3,0,1
crimson,6.01E-05,7.31E-05,0,3,2,0
bloomed,6.01E-05,0,0,3,0,0
dull,6.01E-05,0.000109681,3.23E-05,3,3,4
paper,6.01E-05,0.000146242,4.85E-05,3,4,6
magazine,6.01E-05,0,0,3,0,0
knee,6.01E-05,0.000182802,0,3,5,0
tournament,6.01E-05,0,0,3,0,0
contemptuous,6.01E-05,3.66E-05,0,3,1,0
arrange,6.01E-05,0,8.08E-06,3,0,1
stairs,6.01E-05,0.000109681,5.66E-05,3,3,7
aunt,6.01E-05,0,0.000678706,3,0,84
spend,6.01E-05,0,0.000105038,3,0,13
lots,6.01E-05,0,0,3,0,0
flower,6.01E-05,7.31E-05,0,3,2,0
rumours,6.01E-05,0,0,3,0,0
rush,6.01E-05,7.31E-05,0,3,2,0
ideas,6.01E-05,0,0.000105038,3,0,13
wings,6.01E-05,3.66E-05,0,3,1,0
share,6.01E-05,3.66E-05,0.000113118,3,1,14
content,6.01E-05,3.66E-05,8.08E-06,3,1,1
involuntarily,6.01E-05,0,1.62E-05,3,0,2
halfway,6.01E-05,0,0,3,0,0
valley,6.01E-05,0,3.23E-05,3,0,4
forms,6.01E-05,0,1.62E-05,3,0,2
rising,6.01E-05,3.66E-05,5.66E-05,3,1,7
track,6.01E-05,0,0,3,0,0
stir,6.01E-05,0,8.08E-06,3,0,1
halt,6.01E-05,0,0,3,0,0
mistress,6.01E-05,0,7.27E-05,3,0,9
sauntered,6.01E-05,0,0,3,0,0
elbow,6.01E-05,0.000109681,0,3,3,0
violence,6.01E-05,3.66E-05,2.42E-05,3,1,3
main,6.01E-05,0,0,3,0,0
approached,6.01E-05,0,4.85E-05,3,0,6
bare,6.01E-05,0,8.08E-06,3,0,1
apartments,6.01E-05,0,1.62E-05,3,0,2
proprietor,6.01E-05,0,2.42E-05,3,0,3
handsome,6.01E-05,3.66E-05,0.000298954,3,1,37
sell,6.01E-05,7.31E-05,8.08E-06,3,2,1
stout,6.01E-05,0,1.62E-05,3,0,2
perceptible,6.01E-05,0,8.08E-06,3,0,1
eye,6.01E-05,0.000255923,0.000121197,3,7,15
intently,6.01E-05,0,1.62E-05,3,0,2
dumb,6.01E-05,0,0,3,0,0
tattle,6.01E-05,0,0,3,0,0
cream,6.01E-05,0,0,3,0,0
tapped,6.01E-05,0,0,3,0,0
dogs,6.01E-05,0.000109681,0,3,3,0
earnestly,6.01E-05,7.31E-05,8.89E-05,3,2,11
bore,6.01E-05,3.66E-05,7.27E-05,3,1,9
doubtfully,6.01E-05,7.31E-05,0,3,2,0
exactly,6.01E-05,0.000292483,0.000242395,3,8,30
bother,6.01E-05,3.66E-05,0,3,1,0
bitch,6.01E-05,0,0,3,0,0
doors,6.01E-05,7.31E-05,6.46E-05,3,2,8
furniture,6.01E-05,0,8.08E-05,3,0,10
blurred,6.01E-05,0,0,3,0,0
resolved,6.01E-05,0,0.000250475,3,0,31
box,6.01E-05,0.000365604,1.62E-05,3,10,2
powdered,6.01E-05,3.66E-05,0,3,1,0
eyebrows,6.01E-05,0,0,3,0,0
incessant,6.01E-05,0,8.08E-06,3,0,1
innumerable,6.01E-05,0,0,3,0,0
hovered,6.01E-05,0,0,3,0,0
intense,6.01E-05,0,0,3,0,0
dear,6.01E-05,0.001060252,0.001276613,3,29,158
forth,6.01E-05,0,3.23E-05,3,0,4
orders,6.01E-05,0,5.66E-05,3,0,7
scared,6.01E-05,0,0,3,0,0
bored,6.01E-05,0,0,3,0,0
tray,6.01E-05,3.66E-05,0,3,1,0
gasoline,6.01E-05,0,0,3,0,0
keeping,6.01E-05,7.31E-05,3.23E-05,3,2,4
europe,6.01E-05,0,0,3,0,0
surprisingly,6.01E-05,0,0,3,0,0
shoe,6.01E-05,0,8.08E-06,3,0,1
borrowed,6.01E-05,0,8.08E-06,3,0,1
demand,6.01E-05,0,2.42E-05,3,0,3
celebrated,6.01E-05,0,1.62E-05,3,0,2
argument,6.01E-05,0.000146242,4.04E-05,3,4,5
streets,6.01E-05,0,8.08E-06,3,0,1
simultaneously,6.01E-05,0,0,3,0,0
artificial,6.01E-05,0,8.08E-06,3,0,1
silk,6.01E-05,0,0,3,0,0
handkerchief,6.01E-05,0,8.08E-06,3,0,1
cheek,6.01E-05,0,0,3,0,0
searched,6.01E-05,0,0,3,0,0
whether,6.01E-05,0.000402164,0.000436311,3,11,54
mention,6.01E-05,0,0.000242395,3,0,30
shouted,6.01E-05,0.000329044,0,3,9,0
scolding,6.01E-05,0,1.62E-05,3,0,2
loneliness,6.01E-05,0,0,3,0,0
horse,6.01E-05,3.66E-05,2.42E-05,3,1,3
sand,6.01E-05,3.66E-05,0,3,1,0
oranges,6.01E-05,0,0,3,0,0
lemons,6.01E-05,0,0,3,0,0
machine,6.01E-05,0,0,3,0,0
bar,6.01E-05,0,0,3,0,0
playing,6.01E-05,7.31E-05,4.85E-05,3,2,6
cocktail,6.01E-05,0,0,3,0,0
key,6.01E-05,0.000329044,0,3,9,0
higher,6.01E-05,0,3.23E-05,3,0,4
form,6.01E-05,3.66E-05,0.000105038,3,1,13
stable,6.01E-05,0,0,3,0,0
courage,6.01E-05,0.000109681,9.70E-05,3,3,12
dances,6.01E-05,0,8.89E-05,3,0,11
hush,6.01E-05,0.000109681,0,3,3,0
burst,6.01E-05,3.66E-05,2.42E-05,3,1,3
actually,6.01E-05,3.66E-05,9.70E-05,3,1,12
introduced,6.01E-05,3.66E-05,7.27E-05,3,1,9
intended,6.01E-05,0,0.000177756,3,0,22
peculiar,6.01E-05,0,4.85E-05,3,0,6
circumstances,6.01E-05,3.66E-05,0.000226235,3,1,28
ease,6.01E-05,0,0.000137357,3,0,17
noticed,6.01E-05,0.000292483,6.46E-05,3,8,8
bonds,6.01E-05,0,0,3,0,0
purposeless,6.01E-05,0,0,3,0,0
welcome,6.01E-05,3.66E-05,9.70E-05,3,1,12
begin,6.01E-05,0.000475285,0.000105038,3,13,13
remarks,6.01E-05,0.000109681,6.46E-05,3,3,8
addressed,6.01E-05,7.31E-05,0.000137357,3,2,17
beads,6.01E-05,0,0,3,0,0
sixty,6.01E-05,0,0,3,0,0
enthusiasm,6.01E-05,0,0,3,0,0
shivered,6.01E-05,0,0,3,0,0
served,6.01E-05,0,0,3,0,0
join,6.01E-05,0.000329044,0.000153517,3,9,19
undergraduate,6.01E-05,0,0,3,0,0
pages,6.01E-05,0,8.08E-06,3,0,1
regular,6.01E-05,7.31E-05,2.42E-05,3,2,3
sober,6.01E-05,0,0,3,0,0
gravely,6.01E-05,0.000109681,3.23E-05,3,3,4
infantry,6.01E-05,0,0,3,0,0
eighteen,6.01E-05,0,0,3,0,0
suits,6.01E-05,0,0,3,0,0
failed,6.01E-05,0,2.42E-05,3,0,3
irresistible,6.01E-05,0,0,3,0,0
hoped,6.01E-05,3.66E-05,0.000161597,3,1,20
effect,6.01E-05,0.000109681,0.000113118,3,3,14
palace,6.01E-05,0,0,3,0,0
tostoff,6.01E-05,0,0,3,0,0
eluded,6.01E-05,0,8.08E-06,3,0,1
skin,6.01E-05,0,0,3,0,0
drinking,6.01E-05,3.66E-05,8.08E-06,3,1,1
heads,6.01E-05,0.000365604,8.08E-06,3,10,1
knowing,6.01E-05,7.31E-05,0.000218155,3,2,27
formed,6.01E-05,0,0.000129277,3,0,16
sports,6.01E-05,0,8.08E-06,3,0,1
clean,6.01E-05,3.66E-05,0,3,1,0
famous,6.01E-05,0,0,3,0,0
sing,6.01E-05,0.000219362,4.04E-05,3,6,5
fight,6.01E-05,7.31E-05,1.62E-05,3,2,2
promised,6.01E-05,3.66E-05,0.000169676,3,1,21
reluctance,6.01E-05,0,8.08E-06,3,0,1
lingered,6.01E-05,0,0,3,0,0
shake,6.01E-05,3.66E-05,1.62E-05,3,1,2
sir,6.01E-05,0.000255923,0.000638306,3,7,79
significance,6.01E-05,0,0,3,0,0
infinitely,6.01E-05,0,3.23E-05,3,0,4
indignantly,6.01E-05,0.000146242,0,3,4,0
ah,6.01E-05,0.000182802,4.04E-05,3,5,5
uncertain,6.01E-05,0,1.62E-05,3,0,2
horns,6.01E-05,0,0,3,0,0
swaying,6.01E-05,0,0,3,0,0
calmly,6.01E-05,3.66E-05,8.08E-06,3,1,1
notice,6.01E-05,0.000182802,0.000169676,3,5,21
flow,6.01E-05,0,3.23E-05,3,0,4
clerks,6.01E-05,0,0,3,0,0
satisfaction,6.01E-05,0,0.000218155,3,0,27
enter,6.01E-05,0,9.70E-05,3,0,12
flattered,6.01E-05,0,5.66E-05,3,0,7
incident,6.01E-05,0,0,3,0,0
careful,6.01E-05,0,3.23E-05,3,0,4
deliberately,6.01E-05,0,1.62E-05,3,0,2
brakes,6.01E-05,0,0,3,0,0
nevertheless,6.01E-05,3.66E-05,0,3,1,0
alongshore,6.01E-05,0,0,3,0,0
bootlegger,6.01E-05,0,0,3,0,0
devil,6.01E-05,0,0,3,0,0
timetable,6.01E-05,0,0,3,0,0
folds,6.01E-05,0,0,3,0,0
hospitality,6.01E-05,0,2.42E-05,3,0,3
civet,6.01E-05,0,0,3,0,0
flipped,6.01E-05,0,0,3,0,0
winter,6.01E-05,3.66E-05,0.000121197,3,1,15
s,6.01E-05,0,0,3,0,0
g,6.01E-05,0,0,3,0,0
swollen,6.01E-05,0,0,3,0,0
educated,6.01E-05,0,2.42E-05,3,0,3
haunted,6.01E-05,0,0,3,0,0
rubies,6.01E-05,0,0,3,0,0
incredulous,6.01E-05,0,2.42E-05,3,0,3
character,6.01E-05,3.66E-05,0.000517109,3,1,64
major,6.01E-05,0,0,3,0,0
fully,6.01E-05,0,4.04E-05,3,0,5
metal,6.01E-05,0,0,3,0,0
glimpse,6.01E-05,0,1.62E-05,3,0,2
elevated,6.01E-05,0,1.62E-05,3,0,2
wallet,6.01E-05,0,0,3,0,0
cap,6.01E-05,0,0,3,0,0
built,6.01E-05,0,2.42E-05,3,0,3
mystery,6.01E-05,7.31E-05,8.08E-06,3,2,1
limousine,6.01E-05,0,0,3,0,0
handed,6.01E-05,0.000109681,2.42E-05,3,3,3
highballs,6.01E-05,0,0,3,0,0
metropole,6.01E-05,0,0,3,0,0
gonnegtion,6.01E-05,0,0,3,0,0
yeah,6.01E-05,0,0,3,0,0
jerk,6.01E-05,0,0,3,0,0
belong,6.01E-05,3.66E-05,2.42E-05,3,1,3
1919,6.01E-05,0,0,3,0,0
safe,6.01E-05,7.31E-05,6.46E-05,3,2,8
opportunity,6.01E-05,0.000292483,0.000234315,3,8,29
october,6.01E-05,0,8.08E-06,3,0,1
older,6.01E-05,7.31E-05,1.62E-05,3,2,2
officers,6.01E-05,0.000146242,0.000250475,3,4,31
camp,6.01E-05,0,2.42E-05,3,0,3
officer,6.01E-05,3.66E-05,6.46E-05,3,1,8
armistice,6.01E-05,0,0,3,0,0
pearls,6.01E-05,0,0,3,0,0
south,6.01E-05,0,8.08E-06,3,0,1
santa,6.01E-05,0,0,3,0,0
